108,PREFEITURA OURO PRETO,,,,,,,True,2026-04-16 15:04:14.433203
48,PRESMET,,,,,,,True,2026-03-13 12:39:10.919769
21,RANNER ACADEMIA,,,,,,,True,2026-03-05 12:19:58.434222
72,RG COM,,,,,,,True,2026-04-01 12:14:37.347858
89,RIOTO,,,,,,,True,2026-04-09 14:20:10.582070
40,RUIZ E COSTA,,ALEXANDRE,,,,,True,2026-03-09 20:55:04.793522
65,S A DE FREITAS,,,,,,,True,2026-03-26 18:29:23.225684
8,SALU,53.306.303/0001-01,,,,,,True,2026-03-02 01:37:12.845678
67,SAMA MED,,,,,,,True,2026-03-26 20:52:06.188624
57,SAMAUMA DIST,,,,,,,True,2026-03-20 13:04:23.421273
16,SAOC,,,,,,,True,2026-03-05 12:15:37.355306
47,SARON,,,,,,,True,2026-03-12 18:05:12.246091
74,SAURA DIST,,,,,,,True,2026-04-01 15:34:48.235880
66,SERVQUIMA,,,,,,,True,2026-03-26 18:35:57.747889
22,SMARTX INDUSTRIA,,,,,,,True,2026-03-05 18:20:21.006078
50,SORRISO MAGICO,,,,,,,True,2026-03-13 14:44:34.018084
100,SOTT TRANSPORTES,,,,,,,True,2026-04-13 08:30:26.686483
88,SUPERM FAMILIA,,,,,,,True,2026-04-08 15:57:24.711468
87,TAVARES REC,,,,,,,True,2026-04-08 15:42:49.723058
70,TELEBRASILIA,,,,,,,True,2026-03-30 13:38:22.304477
13,TESTE,,,,,,,True,2026-03-04 20:44:56.017107
95,THOK,,,,,,,True,2026-04-09 16:10:32.118115
3,TRANSPORTADORA PLANALTO,00.308.668/0001-09,SILVANA,,,,,True,2026-03-02 01:12:21.846709
99,TRILHAS DA AMAZONIA,,,,,,,True,2026-04-10 11:13:28.254644
10,VAM REFEICOES,19.657.210/0001-85,,,,,,True,2026-03-02 13:28:23.581214
20,VASCONCELOS E FROTAS,,,,,,,True,2026-03-05 12:19:34.467579
